datetime,latitude,longitude,magnitude,depth,location
2025-01-01 00:20:17,2.058440923690796,126.9534683227539,3.276490639284351,12,Northern Molucca Sea
2025-01-01 00:31:09,0.3175780773162842,121.76140594482422,2.564184942466979,178,"Minahassa Peninsula, Sulawesi"
2025-01-01 01:07:11,-5.791014671325684,129.06175231933594,3.983283038713678,276,Banda Sea
2025-01-01 01:44:11,-8.0054931640625,117.96754455566406,4.091995747927509,11,"Sumbawa Region, Indonesia"
2025-01-01 02:21:52,-8.16466236114502,116.41080474853516,2.922236774395625,11,"Sumbawa Region, Indonesia"
2025-01-01 03:59:52,-10.155939102172852,118.7557830810547,3.0444913480841747,7,"South of Sumbawa, Indonesia"
2025-01-01 06:35:55,-9.72634220123291,119.47301483154295,2.4295197102565704,28,"Sumba Region, Indonesia"
2025-01-01 06:51:20,2.315891981124878,99.00798034667967,2.916783851917105,136,"Northern Sumatra, Indonesia"
2025-01-01 07:12:23,-0.21245639026165,100.3703384399414,1.9182977545590056,12,"Southern Sumatra, Indonesia"
2025-01-01 10:03:14,-8.541582107543945,118.39746856689452,3.1536552742247954,111,"Sumbawa Region, Indonesia"
2025-01-01 12:37:50,1.6590418815612793,126.3511199951172,3.326584653570688,21,Northern Molucca Sea
2025-01-01 13:36:46,-2.229853630065918,138.95790100097656,3.78588489863441,36,"West Papua, Indonesia"
2025-01-01 15:15:14,5.280226230621338,125.40586853027344,3.945597033248992,44,"Mindanao, Philippines"
2025-01-01 16:22:46,4.109082221984863,95.88898468017578,3.129618217328326,29,"Northern Sumatra, Indonesia"
2025-01-01 18:14:34,-8.198249816894531,125.46891021728516,3.4154200369857577,15,Timor Region
2025-01-01 18:34:30,-1.059575080871582,127.40908813476562,4.060454286361647,15,"Halmahera, Indonesia"
2025-01-01 18:53:04,0.2280225753784179,126.73387908935548,3.121799705254361,19,Northern Molucca Sea
2025-01-01 18:53:55,-9.464279174804688,118.5303726196289,2.4111661385040466,33,"Sumbawa Region, Indonesia"
2025-01-01 19:12:12,-1.1854991912841797,127.2442855834961,4.0365422957692685,23,"Halmahera, Indonesia"
2025-01-01 20:21:45,-1.1058622598648071,127.36338806152344,3.709570739153964,20,"Halmahera, Indonesia"
2025-01-01 21:42:14,-3.405100107192993,128.32626342773438,3.5871598910501263,10,"Seram, Indonesia"
2025-01-01 23:07:20,-2.026937484741211,100.04486083984376,4.109124191252547,10,"Southern Sumatra, Indonesia"
2025-01-02 01:51:28,-9.444926261901855,118.43809509277344,2.8667393952367264,34,"Sumbawa Region, Indonesia"
2025-01-02 03:32:38,-9.481863975524902,124.09121704101562,2.756373466831334,50,Timor Region
2025-01-02 03:42:54,0.072853647172451,100.00607299804688,2.401322400053348,14,"Northern Sumatra, Indonesia"
2025-01-02 04:16:42,0.2925895452499389,121.7682113647461,2.494977093268245,204,"Minahassa Peninsula, Sulawesi"
2025-01-02 04:24:50,-3.823573589324951,128.8089599609375,3.4134333026752355,10,"Seram, Indonesia"
2025-01-02 04:34:50,-4.371527671813965,120.04368591308594,2.86896824224079,10,"Sulawesi, Indonesia"
2025-01-02 05:32:23,-0.2070572823286056,125.2078094482422,5.189546541425147,51,Southern Molucca Sea
2025-01-02 06:54:02,5.052955627441406,95.58473205566406,3.15505227331897,81,"Northern Sumatra, Indonesia"
2025-01-02 08:23:24,1.900305986404419,126.99590301513672,3.135819087722836,35,Northern Molucca Sea
2025-01-02 13:25:30,1.753196120262146,127.15799713134766,3.879847019585695,97,"Halmahera, Indonesia"
2025-01-02 15:51:00,1.195160984992981,126.78451538085938,3.5113425869234995,28,Northern Molucca Sea
2025-01-02 19:24:24,-9.095369338989258,119.23397827148438,2.6821975278799437,56,"Sumba Region, Indonesia"
2025-01-02 20:49:21,-8.705045700073242,115.21428680419922,3.320692476755629,115,"Bali Region, Indonesia"
2025-01-02 21:13:31,-1.0983544588088987,127.34105682373048,4.460811210910139,11,"Halmahera, Indonesia"
2025-01-02 21:37:25,0.7058799862861633,125.70960235595705,3.1842185514696304,36,Northern Molucca Sea
2025-01-02 22:34:39,1.1624605655670166,97.07434844970705,3.697831405893594,22,"Northern Sumatra, Indonesia"
2025-01-03 00:47:23,-9.215738296508787,119.1866455078125,3.756488808215432,33,"Sumba Region, Indonesia"
2025-01-03 04:00:31,2.489179372787476,97.61465454101562,3.1314487151180974,29,"Northern Sumatra, Indonesia"
2025-01-03 04:15:47,-7.826017379760742,118.5464324951172,3.150316547975673,19,Flores Sea
2025-01-03 05:06:17,-4.718596935272217,131.1077117919922,3.675156575924356,65,Banda Sea
2025-01-03 05:09:25,-8.541869163513184,116.05331420898438,2.0750243534125974,17,"Sumbawa Region, Indonesia"
2025-01-03 05:16:28,1.6966105699539185,97.03849029541016,3.945388300826055,23,"Northern Sumatra, Indonesia"
2025-01-03 06:11:14,-8.254630088806152,119.66343688964844,2.163712081942549,164,"Flores Region, Indonesia"
2025-01-03 06:16:45,-9.442708015441896,124.16175079345705,2.7886880771855367,44,Timor Region
2025-01-03 06:19:48,-1.5518701076507568,120.2852554321289,3.022241689874845,10,"Sulawesi, Indonesia"
2025-01-03 06:46:03,0.2164175808429718,124.5244369506836,3.324659797390108,51,"Minahassa Peninsula, Sulawesi"
2025-01-03 08:06:51,-9.264941215515137,119.0513458251953,3.214639152475775,65,"Sumba Region, Indonesia"
2025-01-03 10:05:38,-1.1016639471054075,120.38958740234376,3.615092989094554,10,"Sulawesi, Indonesia"
2025-01-03 10:17:34,-7.831677436828613,118.5179214477539,4.011892279832145,21,Flores Sea
